DATAFLOW,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CH,2018,81.9,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2010,79.2,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2011,79.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2012,78.9,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2013,80.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2014,80.3,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2015,79.9,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2016,80.5,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2017,80.2,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CY,2018,80.9,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2010,74.5,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2011,74.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2012,75.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2013,75.2,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2014,75.8,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2015,75.7,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2016,76.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2017,76.1,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,CZ,2018,76.2,
ESTAT:TPS00208(1.0),A,YR,M,LE_0,DE,2010,78.0,
